label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
open_palm,0.0,0.0,-0.225168,-0.016787,-0.433471,-0.224918,-0.569664,-0.429812,-0.700725,-0.509753,-0.341295,-0.863628,-0.436437,-1.210693,-0.488792,-1.434213,-0.526585,-1.630846,-0.197418,-0.975518,-0.250762,-1.414897,-0.286293,-1.699998,-0.312943,-1.931955,-0.052171,-0.969125,-0.053072,-1.378163,-0.067702,-1.635478,-0.084299,-1.85404,0.090706,-0.865343,0.179774,-1.114598,0.228663,-1.285033,0.267077,-1.447577
open_palm,0.0,0.0,-0.227754,-0.013699,-0.4371,-0.217256,-0.572949,-0.424705,-0.702769,-0.508563,-0.343325,-0.862733,-0.440096,-1.208744,-0.49394,-1.430634,-0.533262,-1.62542,-0.199312,-0.975062,-0.251876,-1.414581,-0.287798,-1.698811,-0.31341,-1.928807,-0.054879,-0.966199,-0.053875,-1.374177,-0.069086,-1.63217,-0.085173,-1.851289,0.087718,-0.860985,0.176536,-1.106397,0.2231,-1.274657,0.259421,-1.436515
open_palm,0.0,0.0,-0.226683,-0.009907,-0.439911,-0.214649,-0.575868,-0.422786,-0.705172,-0.502924,-0.349121,-0.862944,-0.446404,-1.211834,-0.500806,-1.435004,-0.540687,-1.629239,-0.203978,-0.974102,-0.256597,-1.411571,-0.292135,-1.695229,-0.317977,-1.926184,-0.059118,-0.967225,-0.058287,-1.374267,-0.072642,-1.630159,-0.08848,-1.848557,0.083626,-0.866918,0.171207,-1.120297,0.220931,-1.288831,0.2605,-1.449468
open_palm,0.0,0.0,-0.227989,-0.010629,-0.440613,-0.207713,-0.575872,-0.412186,-0.703607,-0.501092,-0.349611,-0.86208,-0.444365,-1.214372,-0.499253,-1.434377,-0.540924,-1.626888,-0.204388,-0.973619,-0.25627,-1.414279,-0.290944,-1.698399,-0.316031,-1.930648,-0.059219,-0.965841,-0.059684,-1.378341,-0.072931,-1.629946,-0.087915,-1.845692,0.084834,-0.865221,0.171946,-1.1179,0.22066,-1.285069,0.258634,-1.446844
open_palm,0.0,0.0,-0.226943,-0.019763,-0.434645,-0.226977,-0.567525,-0.426573,-0.694182,-0.50672,-0.343736,-0.867546,-0.437114,-1.213544,-0.490607,-1.431422,-0.530749,-1.620999,-0.198297,-0.975491,-0.248216,-1.411565,-0.281252,-1.690813,-0.305564,-1.917236,-0.05361,-0.964291,-0.052618,-1.374855,-0.064062,-1.626234,-0.077475,-1.840366,0.088881,-0.85976,0.175003,-1.110527,0.223777,-1.276224,0.261491,-1.43464
open_palm,0.0,0.0,-0.229116,-0.014424,-0.437909,-0.224369,-0.572871,-0.430991,-0.704632,-0.507917,-0.345046,-0.865322,-0.440295,-1.211772,-0.494249,-1.432754,-0.534391,-1.625273,-0.198933,-0.975745,-0.249719,-1.410046,-0.28453,-1.687346,-0.310701,-1.914808,-0.054032,-0.967096,-0.052381,-1.379797,-0.065044,-1.630786,-0.080374,-1.84694,0.088663,-0.864699,0.175547,-1.114107,0.224744,-1.276586,0.262362,-1.433365
open_palm,0.0,0.0,-0.227706,-0.016352,-0.437244,-0.224253,-0.571013,-0.432496,-0.702356,-0.511639,-0.341271,-0.865333,-0.434915,-1.215717,-0.489429,-1.43893,-0.530972,-1.633812,-0.195318,-0.975998,-0.246638,-1.414757,-0.281522,-1.695819,-0.30781,-1.926528,-0.050764,-0.968133,-0.051464,-1.380949,-0.064844,-1.634943,-0.080315,-1.85473,0.092279,-0.867182,0.17873,-1.120451,0.228644,-1.287851,0.267585,-1.450312
open_palm,0.0,0.0,-0.227382,-0.015642,-0.432075,-0.222964,-0.564103,-0.430564,-0.696537,-0.512854,-0.33999,-0.867905,-0.433342,-1.212023,-0.486979,-1.431923,-0.526876,-1.624215,-0.195997,-0.976278,-0.245712,-1.403525,-0.279018,-1.678911,-0.303705,-1.907031,-0.052894,-0.967912,-0.052885,-1.370409,-0.064024,-1.619176,-0.077471,-1.835827,0.088556,-0.867293,0.175522,-1.114413,0.225044,-1.279983,0.263946,-1.441983
open_palm,0.0,0.0,-0.22808,-0.015989,-0.435225,-0.225215,-0.568795,-0.438097,-0.702806,-0.522107,-0.338828,-0.869095,-0.43352,-1.217258,-0.487736,-1.437531,-0.527786,-1.630701,-0.1928,-0.976542,-0.243662,-1.411915,-0.276893,-1.692841,-0.300338,-1.922523,-0.047542,-0.963762,-0.045027,-1.368005,-0.055736,-1.621566,-0.068307,-1.839809,0.095898,-0.859139,0.181524,-1.109191,0.227468,-1.278663,0.262824,-1.443359
open_palm,0.0,0.0,-0.226112,-0.021873,-0.433242,-0.231623,-0.568504,-0.438172,-0.701112,-0.517175,-0.336107,-0.870336,-0.430859,-1.21816,-0.484681,-1.438704,-0.524663,-1.631645,-0.191239,-0.977072,-0.241945,-1.41453,-0.274587,-1.699489,-0.297197,-1.931602,-0.047047,-0.965671,-0.045485,-1.365601,-0.055641,-1.620704,-0.067078,-1.839316,0.095232,-0.862766,0.180463,-1.10955,0.228399,-1.277185,0.266407,-1.439242
open_palm,0.0,0.0,-0.225898,-0.019741,-0.434247,-0.226589,-0.569719,-0.434656,-0.702099,-0.518587,-0.334393,-0.86929,-0.429686,-1.220762,-0.48383,-1.444769,-0.523972,-1.641073,-0.190493,-0.976863,-0.241394,-1.415748,-0.273862,-1.702532,-0.296985,-1.936627,-0.047048,-0.966629,-0.045359,-1.369309,-0.054977,-1.627786,-0.06667,-1.850684,0.095451,-0.865417,0.18247,-1.11454,0.230896,-1.285567,0.268659,-1.451304
open_palm,0.0,0.0,-0.224598,-0.022295,-0.433639,-0.233253,-0.569996,-0.438948,-0.703019,-0.512245,-0.336409,-0.867597,-0.430249,-1.216855,-0.483499,-1.44054,-0.523069,-1.636632,-0.192658,-0.976443,-0.241907,-1.415422,-0.274187,-1.70237,-0.29752,-1.938825,-0.049435,-0.967314,-0.04703,-1.369416,-0.056873,-1.627481,-0.068482,-1.852151,0.091935,-0.864948,0.180973,-1.109465,0.232016,-1.27909,0.272469,-1.444885
open_palm,0.0,0.0,-0.228456,-0.017177,-0.436517,-0.228931,-0.572062,-0.438433,-0.703601,-0.515895,-0.338138,-0.868863,-0.432606,-1.222611,-0.486271,-1.447081,-0.526586,-1.642357,-0.192609,-0.976314,-0.239369,-1.41649,-0.269484,-1.702912,-0.290488,-1.938589,-0.049173,-0.963547,-0.044179,-1.369869,-0.052814,-1.625416,-0.062622,-1.847107,0.091433,-0.856826,0.181482,-1.100386,0.231854,-1.266119,0.272129,-1.427623
open_palm,0.0,0.0,-0.228619,-0.01715,-0.438774,-0.234313,-0.574349,-0.446254,-0.705554,-0.517601,-0.338172,-0.868541,-0.431833,-1.221308,-0.48433,-1.444292,-0.52328,-1.638341,-0.192537,-0.976837,-0.241338,-1.41523,-0.271179,-1.699315,-0.290774,-1.932721,-0.048554,-0.966102,-0.046144,-1.370572,-0.053544,-1.624579,-0.061644,-1.844642,0.09261,-0.863229,0.179638,-1.106822,0.229321,-1.27294,0.269386,-1.435823
open_palm,0.0,0.0,-0.22696,-0.025067,-0.434203,-0.237253,-0.570815,-0.443899,-0.703768,-0.517973,-0.332943,-0.871711,-0.426727,-1.225208,-0.479701,-1.447159,-0.518481,-1.642628,-0.188455,-0.977004,-0.236135,-1.417358,-0.265134,-1.704925,-0.284021,-1.943036,-0.045325,-0.963902,-0.041338,-1.366709,-0.0484,-1.622192,-0.056742,-1.844223,0.095586,-0.859041,0.184195,-1.104171,0.235255,-1.270837,0.275985,-1.432804
open_palm,0.0,0.0,-0.230319,-0.020269,-0.436629,-0.231051,-0.572826,-0.442555,-0.707706,-0.522049,-0.335278,-0.870928,-0.429232,-1.224883,-0.482041,-1.448756,-0.519891,-1.645385,-0.192246,-0.976582,-0.240173,-1.41621,-0.270063,-1.701192,-0.289532,-1.934238,-0.050251,-0.96465,-0.0451,-1.370235,-0.051907,-1.623315,-0.060328,-1.841628,0.090426,-0.859881,0.180891,-1.104488,0.231156,-1.271204,0.271372,-1.432819
open_palm,0.0,0.0,-0.229822,-0.018596,-0.438421,-0.234677,-0.576961,-0.445625,-0.714622,-0.514588,-0.336342,-0.871497,-0.430465,-1.221973,-0.483599,-1.443174,-0.522082,-1.637354,-0.192685,-0.976599,-0.240439,-1.414117,-0.26904,-1.698895,-0.286659,-1.9358,-0.05018,-0.964916,-0.048283,-1.367796,-0.054708,-1.618526,-0.061273,-1.836652,0.089982,-0.862288,0.177384,-1.105004,0.228765,-1.268259,0.271297,-1.427506
open_palm,0.0,0.0,-0.228595,-0.026982,-0.433707,-0.241173,-0.568126,-0.447736,-0.701252,-0.520489,-0.328845,-0.877592,-0.420998,-1.22964,-0.474403,-1.449933,-0.514447,-1.642146,-0.185209,-0.977874,-0.230781,-1.417794,-0.259319,-1.701071,-0.278915,-1.934571,-0.043155,-0.962319,-0.041191,-1.370455,-0.047876,-1.622937,-0.055448,-1.841704,0.096981,-0.856103,0.185702,-1.104464,0.235992,-1.273081,0.276358,-1.436312
